InitiativeID,Impacted BU,Wave,OverAll Impact
SO.3.117,كلية الملك عبدالله للقيادة والاركان,الحزمة الثالثة,24.000%
SO.3.117,قيادة التدريب والعقيدة,الحزمة الثالثة,24.000%
SO.3.117,وكالة شؤون المشاريع,الحزمة الثالثة,8.000%
SO.3.118,قيادة التدريب والعقيدة,الحزمة الأولى,50.000%
SO.3.118,مدارس الحرس الوطني العسكرية,الحزمة الأولى,22.000%
SO.3.118,هيئة التعليم والتدريب,الحزمة الأولى,22.000%
SO.3.118,كلية الملك عبدالله للقيادة والاركان,الحزمة الأولى,22.000%
SO.3.118,كلية الملك خالد العسكرية,الحزمة الأولى,22.000%
SO.3.118,ادارة العقيدة - قاعدة اسناد التدريب والعقيدة,الحزمة الأولى,36.000%
SO.3.121,مكتب نائب رئيس الجهاز العسكري,الحزمة الثالثة,26.000%
SO.3.121,الادارة العامة للحوكمة والمخاطر والإلتزام,الحزمة الثالثة,10.000%
SO.3.121,ادارة السياسات,الحزمة الثالثة,10.000%
SO.3.122,مكتب الوزير,الحزمة الصفرية,24.000%
SO.3.122,ادارة المشاريع - وكالة الشؤون الفنية,الحزمة الصفرية,70.000%
SO.3.122,ادارة المشاريع - القطاع الصحي,الحزمة الصفرية,70.000%
SO.3.122,تقنية المعلومات في القطاع الصحي,الحزمة الصفرية,12.000%
SO.3.122,الموارد البشرية في القطاع الصحي,الحزمة الصفرية,16.000%
SO.3.122,الموارد البشرية,الحزمة الصفرية,16.000%
SO.3.122,الموارد البشرية,الحزمة الصفرية,16.000%
SO.3.122,الإدارة العامة لتقنية وأمن المعلومات,الحزمة الصفرية,12.000%
SO.3.123,مكتب ادارة المشاريع المؤسسي,الحزمة الأولى,67.000%
SO.3.123,ادارة المشاريع - وكالة الشؤون الفنية,الحزمة الأولى,72.000%
SO.3.123,ادارة المشاريع - القطاع الصحي,الحزمة الأولى,72.000%
SO.3.123,وكالة الشؤون الفنية,الحزمة الأولى,15.000%
SO.3.123,مكتب COO,الحزمة الأولى,15.000%
SO.3.124,ادارة الامن السيبراني,الحزمة الأولى,52.000%
SO.3.124,الامن السيبراني - سلاح الاشارة,الحزمة الأولى,34.000%
SO.3.124,الامن السيبراني - القطاع الصحي,الحزمة الأولى,34.000%
SO.3.124,الامن السيبراني - الخدمات الرقمية والتقنية,الحزمة الأولى,34.000%
SO.3.125,ديوان المحاكمات العسكرية,الحزمة الأولى,80.000%
SO.3.125,الاستئناف العسكري,الحزمة الأولى,80.000%
SO.3.125,قيادة الافواج,الحزمة الأولى,16.000%
SO.3.125,قيادة الشرطة العسكرية,الحزمة الأولى,16.000%
SO.3.125,الإدارة العامة لشؤون الضباط,الحزمة الأولى,16.000%
SO.3.125,هيئة شؤون الافراد,الحزمة الأولى,16.000%
SO.3.125,الامن الوقائي,الحزمة الأولى,16.000%
SO.3.125,الادارة العامة للمتابعة والتفتيش,الحزمة الأولى,16.000%
SO.3.125,ادارة السياسات,الحزمة الأولى,14.000%
SO.3.125,الشؤون القانونية,الحزمة الأولى,14.000%
SO.3.125,مكتب الوزير,الحزمة الأولى,16.000%
SO.3.125,وكالة الشؤون الفنية,الحزمة الأولى,14.000%
SO.3.132,الشؤون الهندسية والمرافق,الحزمة الثانية,17.000%
SO.3.132,مكتب ادارة المشاريع المؤسسي,الحزمة الثانية,5.000%
SO.3.132,تطوير القوات والقدرات,الحزمة الثانية,12.000%
SO.3.132,مكتب وكيل الوزارة,الحزمة الثانية,3.000%
SO.3.133,ادارة المشاريع - وكالة الشؤون الفنية,الحزمة الأولى,29.000%
SO.3.133,الإدارة العامة للدراسات والتصاميم - الشؤون الفنية,الحزمة الأولى,29.000%
SO.3.133,مكتب وكيل الشؤون الفنية,الحزمة الأولى,14.000%
SO.3.133,الاصول والممتلكات - الشؤون الهندسية والمرافق,الحزمة الأولى,14.000%
SO.3.133,شؤون المشاريع للبنى التحتية - الشؤون الهندسية والمرافق,الحزمة الأولى,14.000%
SO.3.133,الخدمات الرقمية والتقنية,الحزمة الأولى,9.000%
SO.3.133.1, الإدارة العامة للميزانية,الحزمة الصفرية,14.000%
SO.3.133.1,الإدارة العامة للدراسات والتصاميم - الشؤون الفنية,الحزمة الصفرية,34.000%
SO.3.133.1,ادارة المشاريع - وكالة الشؤون الفنية,الحزمة الصفرية,34.000%
SO.3.133.1,مكتب وكيل الوزارة,الحزمة الصفرية,14.000%
SO.3.133.1,الإدارة العامة للمناقصات والعقود,الحزمة الصفرية,14.000%
SO.3.133.1,مكتب رئيس الجهاز العسكري,الحزمة الصفرية,14.000%
SO.3.134,كلية الملك خالد العسكرية,الحزمة الثانية,15.000%
SO.3.135,كلية الملك عبدالله للقيادة والاركان,الحزمة الثانية,15.000%
SO.3.136,مدارس الحرس الوطني العسكرية,الحزمة الأولى,74.000%
SO.3.136,قيادة التدريب والعقيدة,الحزمة الأولى,56.000%
SO.3.136,هيئة التعليم والتدريب,الحزمة الأولى,28.000%
SO.3.136,هيئة العمليات,الحزمة الأولى,18.000%
SO.3.136,مكتب رئيس الجهاز العسكري,الحزمة الأولى,8.000%
SO.3.137,ادارة التنظيم والتسليح - هيئة العمليات,الحزمة الأولى,44.000%
SO.3.137,رئاسة هيئة العمليات,الحزمة الأولى,34.000%
SO.3.138,الإدارة العامة لشؤون الضباط,الحزمة الثانية,54.000%
SO.3.138,هيئة شؤون الافراد,الحزمة الثانية,54.000%
SO.3.138,مكتب رئيس الجهاز العسكري,الحزمة الثانية,10.000%
SO.3.140,الحوكمة والمخاطر والامتثال - الامن السيبراني ,الحزمة الأولى,34.000%
SO.3.140,الامن السيبراني - سلاح الاشارة,الحزمة الأولى,38.000%
SO.3.140,الامن السيبراني - القطاع الصحي,الحزمة الأولى,38.000%
